Code,Name,All_females,female_0,female_1,female_2,female_3,female_4,female_5,female_6,female_7,female_8,female_9,female_10,female_11,female_12,female_13,female_14,female_15,female_16,female_17,female_18,female_19,female_20,female_21,female_22,female_23,female_24,female_25,female_26,female_27,female_28,female_29,female_30,female_31,female_32,female_33,female_34,female_35,female_36,female_37,female_38,female_39,female_40,female_41,female_42,female_43,female_44,female_45,female_46,female_47,female_48,female_49,female_50,female_51,female_52,female_53,female_54,female_55,female_56,female_57,female_58,female_59,female_60,female_61,female_62,female_63,female_64,female_65,female_66,female_67,female_68,female_69,female_70,female_71,female_72,female_73,female_74,female_75,female_76,female_77,female_78,female_79,female_80,female_81,female_82,female_83,female_84,female_85,female_86,female_87,female_88,female_89,female_90+
K02000001,UNITED KINGDOM,"33,818,578","351,305","366,482","378,616","390,451","390,609","394,262","403,210","415,884","409,054","401,870","396,970","399,834","385,979","379,568","365,083","359,011","348,651","344,045","357,128","368,920","387,384","393,313","409,461","412,222","415,629","429,080","434,064","452,160","457,517","449,328","449,593","457,183","449,885","448,939","449,190","440,577","444,657","444,596","446,110","445,843","426,330","397,316","390,974","400,508","407,545","415,287","433,425","452,121","470,086","458,847","470,262","470,114","473,887","475,466","478,571","473,299","462,252","450,432","435,024","417,395","408,020","398,521","383,517","369,044","355,945","356,713","350,470","340,599","342,114","348,201","354,458","371,986","399,606","308,119","296,958","293,434","272,986","243,226","217,590","221,575","216,466","206,425","193,241","179,876","165,978","149,501","136,897","126,965","114,758","100,820","411,765"
K03000001,GREAT BRITAIN,"32,857,628","340,257","355,054","366,849","378,397","378,443","382,079","390,748","403,071","396,212","389,221","384,261","387,076","373,891","368,006","353,849","347,930","337,688","333,091","346,170","358,503","376,393","382,504","398,278","401,065","404,351","417,413","422,259","439,755","444,902","436,785","437,094","444,434","437,012","435,939","436,438","427,833","431,998","431,969","433,215","432,919","413,705","385,430","379,197","388,708","395,597","402,946","420,664","439,244","456,805","445,598","456,885","456,624","460,417","462,085","464,860","459,944","449,422","437,641","422,553","405,440","396,515","387,187","372,652","358,756","346,281","347,305","341,103","331,650","333,207","339,237","345,588","363,118","390,718","299,946","288,973","285,640","265,497","236,608","211,628","215,951","210,833","201,282","188,277","175,330","161,761","145,781","133,356","123,849","111,979","98,392","402,111"
K04000001,ENGLAND AND WALES,"30,057,331","315,623","329,379","340,628","351,125","350,512","353,992","361,919","373,679","365,717","360,005","354,261","357,185","345,303","339,871","326,276","320,916","311,260","306,835","318,239","328,346","343,967","349,072","363,222","365,921","369,019","381,121","384,630","399,977","405,504","398,772","399,102","406,246","399,740","399,338","399,663","392,203","395,886","395,296","397,106","397,545","379,931","353,510","348,375","355,861","362,318","369,438","384,993","401,024","416,836","406,320","416,100","415,151","419,196","420,844","422,430","417,699","407,513","397,127","382,989","367,324","358,544","350,333","337,054","324,317","313,302","315,064","309,565","301,315","302,725","308,849","314,691","331,407","356,503","274,465","264,760","261,370","242,170","215,248","192,062","196,409","192,105","183,494","171,612","159,775","147,538","132,916","121,951","113,232","102,766","90,545","371,864"
E92000001,ENGLAND,"28,459,130","300,826","313,558","324,359","334,174","333,507","336,919","344,388","355,464","347,216","341,749","336,438","338,878","327,705","322,455","309,314","304,454","295,300","290,912","301,574","310,275","324,830","329,430","343,669","346,904","350,309","361,180","364,387","379,124","384,736","378,860","379,105","386,611","380,646","380,499","380,541","373,947","377,262","376,800","377,977","378,545","362,127","336,646","331,751","338,783","344,794","351,131","365,461","380,281","394,731","384,915","393,753","392,996","396,581","398,167","399,036","394,299","384,817","374,686","361,033","346,203","337,691","329,792","317,256","305,076","294,782","295,946","290,651","283,061","284,178","290,104","295,606","311,295","335,315","258,165","248,795","245,774","227,591","201,831","179,947","184,833","180,860","172,748","161,532","150,373","138,943","125,011","114,723","106,772","96,951","85,471","351,039"
E12000001,NORTH EAST,"1,357,817","12,938","13,459","14,072","14,291","14,085","14,580","15,039","15,535","15,671","15,363","14,875","15,224","14,638","14,847","13,893","13,643","13,139","13,162","13,991","16,262","17,397","17,434","17,096","16,647","16,281","16,916","17,398","18,499","18,252","17,247","16,982","17,333","16,952","17,279","17,094","16,462","16,515","16,497","16,470","16,548","15,815","14,262","13,954","14,902","14,915","15,376","16,296","17,746","18,689","18,161","18,396","18,721","19,262","19,544","20,066","19,879","20,036","19,628","18,865","18,275","18,409","18,339","17,217","16,651","15,936","15,783","15,621","15,032","15,167","15,572","15,581","16,348","17,437","13,195","12,556","12,094","10,856","10,019","9,256","9,775","9,469","9,192","8,627","7,671","7,235","6,401","5,852","5,272","4,885","4,146","15,429"
E06000047,County Durham,"269,213","2,333","2,498","2,578","2,630","2,752","2,808","2,859","2,881","3,060","3,068","2,819","3,015","2,835","2,893","2,716","2,607","2,558","2,416","2,736","3,753","4,144","3,906","3,392","3,080","3,064","3,097","3,321","3,606","3,517","3,191","3,165","3,113","2,998","3,305","3,210","3,013","3,105","3,101","3,141","3,177","2,981","2,815","2,779","2,840","2,874","2,979","3,332","3,493","3,816","3,629","3,801","4,004","3,932","4,009","4,118","4,161","3,999","3,893","3,803","3,614","3,807","3,734","3,480","3,428","3,305","3,222","3,265","3,095","3,163","3,231","3,299","3,384","3,637","2,781","2,708","2,651","2,327","2,126","1,958","1,950","1,932","1,841","1,729","1,508","1,452","1,235","1,095",976,952,778,"2,831"
E06000005,Darlington,"54,738",518,567,570,586,579,582,628,698,644,656,631,689,653,673,583,603,571,540,546,434,472,534,516,592,583,613,596,679,719,699,672,700,660,690,681,697,640,658,673,718,691,647,564,667,665,748,700,749,797,791,726,766,787,862,796,774,792,772,772,718,729,742,685,681,578,586,602,596,621,624,595,616,740,564,519,491,399,400,389,386,426,390,361,343,327,253,263,226,190,170,719
E06000001,Hartlepool,"47,830",491,477,516,542,525,549,547,581,605,629,572,567,589,585,560,485,514,481,496,474,449,460,521,507,545,595,587,659,612,596,593,642,656,632,622,585,564,592,565,567,552,509,525,496,508,509,578,594,677,640,659,688,750,746,695,727,711,742,701,623,676,625,573,545,591,471,577,544,482,538,567,557,545,422,405,362,346,365,283,340,284,383,326,255,271,227,220,197,178,136,575
E06000002,Middlesbrough,"71,261",848,982,969,883,963,923,991,948,"1,002",895,908,845,875,902,790,808,707,724,793,937,999,"1,048","1,084","1,017","1,032","1,081","1,141","1,061",997,950,970,"1,027",932,908,964,908,928,923,884,808,758,657,711,772,751,767,784,842,916,889,835,879,888,937,966,965,968,967,913,858,901,879,850,813,811,757,722,656,669,686,649,679,708,558,496,488,493,442,413,440,412,425,382,361,334,288,286,219,218,186,662
E06000057,Northumberland,"164,972","1,327","1,386","1,524","1,518","1,410","1,507","1,653","1,657","1,695","1,712","1,694","1,747","1,592","1,676","1,576","1,655","1,587","1,654","1,538","1,218","1,115","1,223","1,360","1,510","1,536","1,405","1,560","1,686","1,703","1,707","1,691","1,785","1,718","1,738","1,843","1,788","1,780","1,967","1,808","1,952","1,859","1,707","1,672","1,754","1,817","1,812","2,011","2,208","2,414","2,293","2,366","2,406","2,477","2,516","2,744","2,699","2,741","2,678","2,683","2,670","2,661","2,622","2,515","2,421","2,325","2,311","2,286","2,318","2,350","2,424","2,356","2,586","2,657","2,002","1,932","1,822","1,669","1,453","1,364","1,396","1,339","1,167","1,207","1,072","1,013",874,769,768,653,600,"2,312"
