Code,Name,Births,Deaths,Births minus Deaths,Internal Migration Inflow,Internal Migration Outflow,Internal Migration Net,International Migration Inflow,International Migration Outflow,International Migration Net,Other,Estimated Population  mid-2019
K04000001,ENGLAND AND WALES,"648,402","521,852","126,550","43,715","54,848","-11,133","555,217","348,596","206,621","1,993","59,439,840"
E92000001,ENGLAND,"617,939","488,952","128,987","102,419","122,237","-19,818","537,699","338,890","198,809","1,805","56,286,961"
E12000001,NORTH EAST,"26,443","27,353",-910,"54,949","51,798","3,151","16,636","6,900","9,736",55,"2,669,941"
E06000047,County Durham,"4,835","5,428",-593,"22,711","20,737","1,974","2,695",927,"1,768",-35,"530,094"
E06000005,Darlington,"1,095","1,177",-82,"4,562","4,321",241,327,253,74,4,"106,803"
E06000001,Hartlepool,"1,013",995,18,"3,059","2,958",101,394,79,315,-13,"93,663"
E06000002,Middlesbrough,"1,791","1,406",385,"7,041","8,168","-1,127","1,570",403,"1,167",10,"140,980"
E06000057,Northumberland,"2,599","3,519",-920,"12,266","9,414","2,852",524,360,164,64,"322,434"
E06000003,Redcar and Cleveland,"1,317","1,539",-222,"5,082","4,636",446,272,70,202,6,"137,150"
E06000004,Stockton-on-Tees,"2,109","1,883",226,"7,435","8,559","-1,124","1,384",371,"1,013",20,"197,348"
E11000007,Tyne and Wear (Met County),"11,684","11,406",278,"36,581","36,793",-212,"9,470","4,437","5,033",-1,"1,141,469"
E08000037,Gateshead,"2,002","2,081",-79,"8,557","9,601","-1,044","1,240",564,676,-6,"202,055"
E08000021,Newcastle upon Tyne,"3,244","2,435",809,"24,006","24,941",-935,"5,700","2,942","2,758",-8,"302,820"
E08000022,North Tyneside,"2,240","2,210",30,"9,356","7,696","1,660",507,293,214,24,"207,913"
E08000023,South Tyneside,"1,497","1,700",-203,"4,609","3,991",618,465,151,314,-18,"150,976"
E08000024,Sunderland,"2,701","2,980",-279,"7,973","8,484",-511,"1,558",487,"1,071",7,"277,705"
E12000002,NORTH WEST,"80,968","70,113","10,855","143,606","133,554","10,052","51,512","23,713","27,799",397,"7,341,196"
E06000008,Blackburn with Darwen,"2,023","1,261",762,"5,733","6,342",-609,859,261,598,3,"149,696"
E06000009,Blackpool,"1,615","1,800",-185,"7,950","7,763",187,420,289,131,8,"139,446"
E06000049,Cheshire East,"3,562","3,919",-357,"18,034","14,703","3,331","1,392","1,001",391,-3,"384,152"
E06000050,Cheshire West and Chester,"3,331","3,449",-118,"17,308","15,290","2,018","1,362",779,583,86,"343,071"
E06000006,Halton,"1,392","1,180",212,"4,541","3,935",606,348,189,159,1,"129,410"
E06000007,Warrington,"2,116","1,959",157,"8,430","8,515",-85,926,568,358,37,"210,014"
E10000006,Cumbria,"4,397","5,357",-960,"13,783","12,360","1,423","1,425",826,599,62,"500,012"
E07000026,Allerdale,801,"1,073",-272,"3,428","3,020",408,188,89,99,-1,"97,761"
E07000027,Barrow-in-Furness,715,742,-27,"1,691","1,860",-169,108,50,58,50,"67,049"
E07000028,Carlisle,"1,072","1,129",-57,"4,103","3,868",235,386,283,103,10,"108,678"
E07000029,Copeland,604,746,-142,"1,889","2,028",-139,76,36,40,0,"68,183"
E07000030,Eden,385,511,-126,"2,574","2,161",413,178,93,85,0,"53,253"
E07000031,South Lakeland,820,"1,156",-336,"5,595","4,920",675,489,275,214,3,"105,088"
E11000001,Greater Manchester (Met County),"34,688","23,907","10,781","83,395","85,835","-2,440","26,808","12,156","14,652",124,"2,835,686"
E08000001,Bolton,"3,586","2,574","1,012","11,002","11,343",-341,"2,049",558,"1,491",16,"287,550"
E08000002,Bury,"2,285","1,705",580,"8,746","9,113",-367,957,302,655,14,"190,990"
E08000003,Manchester,"7,202","3,344","3,858","45,026","50,077","-5,051","13,909","7,492","6,417",7,"552,858"
E08000004,Oldham,"3,206","2,118","1,088","8,507","9,349",-842,"1,596",364,"1,232",9,"237,110"
E08000005,Rochdale,"2,869","1,915",954,"9,104","8,715",389,"1,447",421,"1,026",42,"222,412"
E08000006,Salford,"3,602","2,131","1,471","19,774","18,370","1,404","3,000","1,386","1,614",-63,"258,834"
E08000007,Stockport,"3,117","2,769",348,"13,814","12,913",901,802,426,376,23,"293,423"
E08000008,Tameside,"2,811","2,240",571,"9,293","9,156",137,859,292,567,21,"226,493"
E08000009,Trafford,"2,611","1,939",672,"12,680","12,870",-190,955,466,489,13,"237,354"
E08000010,Wigan,"3,399","3,172",227,"11,304","9,784","1,520","1,234",449,785,42,"328,662"
E10000017,Lancashire,"12,469","12,464",5,"46,737","42,250","4,487","7,378","2,182","5,196",58,"1,219,799"
E07000117,Burnley,"1,125",917,208,"3,844","4,018",-174,492,138,354,5,"88,920"
E07000118,Chorley,"1,144","1,092",52,"6,303","5,117","1,186",248,88,160,-3,"118,216"
E07000119,Fylde,632,"1,045",-413,"5,415","4,036","1,379",188,90,98,-54,"80,780"
E07000120,Hyndburn,"1,022",831,191,"3,580","3,748",-168,256,48,208,-3,"81,043"
E07000121,Lancaster,"1,407","1,484",-77,"9,508","9,445",63,"2,449",624,"1,825",-19,"146,038"
E07000122,Pendle,"1,174",853,321,"3,788","3,958",-170,685,134,551,5,"92,112"
E07000123,Preston,"1,806","1,201",605,"8,908","9,443",-535,"1,782",638,"1,144",103,"143,135"
E07000124,Ribble Valley,441,603,-162,"3,713","2,854",859,174,41,133,1,"60,888"
E07000125,Rossendale,744,695,49,"3,951","3,533",418,165,38,127,-7,"71,482"
E07000126,South Ribble,"1,039","1,021",18,"5,432","5,325",107,196,85,111,25,"110,788"
E07000127,West Lancashire,"1,046","1,193",-147,"7,233","7,000",233,459,198,261,10,"114,306"
E07000128,Wyre,889,"1,529",-640,"6,549","5,260","1,289",284,60,224,-5,"112,091"
E11000002,Merseyside (Met County),"15,375","14,817",558,"42,135","41,001","1,134","10,594","5,462","5,132",21,"1,429,910"
E08000011,Knowsley,"1,951","1,579",372,"7,604","6,830",774,299,147,152,-7,"150,862"
E08000012,Liverpool,"5,711","4,490","1,221","29,458","31,610","-2,152","8,350","4,202","4,148",11,"498,042"
E08000014,Sefton,"2,638","3,169",-531,"10,812","9,641","1,171",808,431,377,-3,"276,410"
E08000013,St. Helens,"1,866","1,937",-71,"6,673","6,270",403,413,218,195,9,"180,585"
E08000015,Wirral,"3,209","3,642",-433,"9,107","8,169",938,724,464,260,11,"324,011"
E12000003,YORKSHIRE AND THE HUMBER,"58,970","51,927","7,043","130,705","129,224","1,481","38,879","24,919","13,960",868,"5,502,967"
E06000011,East Riding of Yorkshire,"2,683","3,715","-1,032","16,340","13,906","2,434",776,574,202,-45,"341,173"
E06000010,"Kingston upon Hull, City of","3,257","2,522",735,"10,814","12,470","-1,656","2,442","2,379",63,-9,"259,778"
E06000012,North East Lincolnshire,"1,635","1,728",-93,"4,690","5,021",-331,586,430,156,10,"159,563"
E06000013,North Lincolnshire,"1,579","1,853",-274,"5,836","5,674",162,756,382,374,25,"172,292"
E06000014,York,"1,736","1,826",-90,"16,328","16,688",-360,"2,799","1,665","1,134",41,"210,618"
E10000023,North Yorkshire,"5,229","6,276","-1,047","28,771","25,392","3,379","2,368","1,969",399,818,"618,054"
E07000163,Craven,443,624,-181,"3,388","2,962",426,149,88,61,4,"57,142"
E07000164,Hambleton,701,930,-229,"5,021","4,434",587,213,116,97,5,"91,594"
E07000165,Harrogate,"1,335","1,622",-287,"7,962","7,396",566,921,"1,061",-140,159,"160,831"
E07000166,Richmondshire,460,483,-23,"3,179","3,401",-222,226,85,141,590,"53,730"
E07000167,Ryedale,443,529,-86,"3,184","2,675",509,180,157,23,14,"55,380"
E07000168,Scarborough,922,"1,306",-384,"4,823","4,611",212,436,264,172,21,"108,757"
E07000169,Selby,925,782,143,"5,764","4,463","1,301",243,198,45,25,"90,620"
E11000003,South Yorkshire (Met County),"14,926","13,553","1,373","44,545","45,114",-569,"11,405","6,020","5,385",-87,"1,409,020"
E08000016,Barnsley,"2,603","2,583",20,"8,771","7,607","1,164","1,048",593,455,28,"246,866"
E08000017,Doncaster,"3,392","3,156",236,"10,403","9,827",576,"1,665","1,038",627,-91,"311,890"
E08000018,Rotherham,"2,887","2,789",98,"9,630","9,368",262,810,439,371,9,"265,411"
E08000019,Sheffield,"6,044","5,025","1,019","29,748","32,319","-2,571","7,882","3,950","3,932",-33,"584,853"
