Local_AuthCode_2020,LA_Name,Agriculture forestry & fishing, Production,Construction,Motor trades, Wholesale,Retail,Transport_Storage_inc_postal,Accommodation_food_services,Information & communication, Property, Professional  scientific & technical,Business administration & support services,Public administration & defence, Education,Health,Arts_entertainment_recreation_other_services,Total
K02000001,United Kingdom,"148,845","152,675","351,250","76,910","101,330","208,795","123,075","161,695","225,745","102,340","467,595","235,755","7,665","45,000","103,265","175,720","2,749,700"
K03000001,Great Britain,"130,520","147,370","340,705","74,285","98,220","203,125","120,310","157,485","223,710","99,955","461,535","232,915","7,625","44,305","100,530","171,075","2,674,520"
K04000001,England and Wales,"113,185","136,600","319,755","69,640","93,060","189,740","114,390","143,050","213,185","94,080","430,690","219,655","7,570","42,285","93,945","158,460","2,496,825"
E92000001,England ,"99,425","129,960","306,260","65,915","89,935","181,235","109,550","134,150","208,550","91,175","418,630","211,430","7,035","40,915","89,605","151,565","2,390,970"
,,,,,,,,,,,,,,,,,,
E12000001,North East,"3,950","4,920","9,525","2,395","2,115","5,835","2,890","6,430","3,345","2,270","11,245","5,540",245,"1,285","3,005","5,280","71,465"
E06000047,County Durham,"1,375","1,005","2,075",550,410,"1,160",740,"1,225",470,365,"1,720",965,85,240,510,"1,020","14,105"
E06000005,Darlington,160,190,400,160,85,280,135,260,160,105,525,240,15,60,165,270,"3,285"
E06000001,Hartlepool,60,195,350,70,55,190,80,215,65,65,470,160,5,45,95,155,"2,300"
E06000002,Middlesbrough,15,230,435,105,95,280,125,305,145,100,730,290,5,70,175,215,"3,375"
E06000057,Northumberland,"1,880",675,"1,335",335,310,795,345,"1,010",415,355,"1,520",815,95,135,385,765,"11,315"
E06000003,Redcar and Cleveland,130,260,450,135,85,245,105,285,80,60,635,230,5,55,135,225,"3,145"
E06000004,Stockton-on-Tees,90,380,795,185,155,345,185,370,265,150,"1,295",445,15,105,235,380,"5,505"
E11000007,Tyne and Wear (Met County),240,"1,985","3,685",855,920,"2,540","1,175","2,760","1,745","1,070","4,350","2,395",20,575,"1,305","2,250","28,435"
E08000037,Gateshead,60,405,740,210,235,470,205,425,310,220,745,520,0,120,235,380,"5,380"
E08000021,Newcastle upon Tyne,45,400,830,205,230,735,200,845,615,450,"1,465",695,10,170,470,750,"8,325"
E08000022,North Tyneside,45,420,720,175,165,420,145,470,405,160,910,430,5,100,240,410,"5,315"
E08000023,South Tyneside,25,290,575,90,95,325,280,380,155,70,505,315,0,60,120,255,"3,590"
E08000024,Sunderland,65,470,820,175,195,590,345,640,260,170,725,435,5,125,240,455,"5,825"
,,,,,,,,,,,,,,,,,,
E12000002,North West,"11,680","16,215","31,525","8,325","11,255","24,665","13,240","17,580","15,745","10,065","42,725","23,365",560,"4,430","11,425","16,700","267,055"
E06000008,Blackburn with Darwen,80,465,410,235,335,570,240,340,185,180,625,440,5,75,305,255,"4,895"
E06000009,Blackpool,15,255,525,125,145,435,200,515,180,130,385,265,0,55,165,265,"3,720"
E06000049,Cheshire East,"1,435","1,010","1,955",590,870,"1,190",640,960,"1,485",760,"4,050","1,710",80,335,705,"1,235","19,475"
E06000050,Cheshire West and Chester,995,720,"1,465",420,490,905,455,745,"1,025",530,"2,960","1,325",70,280,550,855,"14,130"
E06000006,Halton,30,325,460,125,165,210,375,200,215,115,575,340,5,75,140,210,"3,625"
E06000007,Warrington,120,520,"1,050",270,300,480,490,375,720,260,"2,475","1,210",15,150,320,485,"9,405"
E10000006,Cumbria,"4,860","1,300","2,860",670,540,"1,515",705,"2,100",625,625,"2,765","1,640",185,400,685,"1,325","23,530"
E07000026,Allerdale,"1,070",260,520,120,75,260,135,415,75,95,460,310,45,70,125,270,"4,380"
E07000027,Barrow-in-Furness,80,155,285,75,30,160,35,160,55,35,385,205,0,30,70,135,"1,910"
E07000028,Carlisle,815,205,590,180,135,270,250,335,155,160,435,250,25,80,160,275,"4,845"
E07000029,Copeland,465,130,235,60,35,125,65,220,55,30,430,235,15,30,65,145,"2,350"
E07000030,Eden,"1,345",165,425,85,95,180,125,255,70,85,310,180,50,55,75,140,"3,670"
E07000031,South Lakeland,"1,085",385,805,150,170,520,95,715,215,220,745,460,50,135,190,360,"6,375"
E11000001,Greater Manchester (Met County),705,"6,140","11,845","3,120","5,125","11,960","5,545","6,370","6,945","4,340","16,760","9,185",25,"1,635","4,745","6,335","104,550"
E08000001,Bolton,85,725,"1,260",380,500,"1,210",930,625,490,320,"1,325",890,5,145,605,605,"10,330"
E08000002,Bury,70,420,"1,065",265,375,765,695,445,420,445,"1,090",760,0,130,330,500,"8,025"
E08000003,Manchester,15,795,"1,505",425,"1,245","4,035",755,"1,595","1,895","1,125","4,385","1,880",5,360,975,"1,330","22,850"
E08000004,Oldham,70,595,945,295,305,660,500,545,315,190,845,625,5,105,310,445,"6,880"
E08000005,Rochdale,115,575,920,250,370,670,425,440,290,240,735,605,0,110,350,430,"6,660"
E08000006,Salford,30,495,"1,080",230,530,"1,690",540,460,630,595,"1,410",935,0,155,385,505,"11,075"
E08000007,Stockport,75,745,"1,415",385,620,890,415,665,945,455,"2,285","1,105",0,185,555,785,"11,920"
E08000008,Tameside,55,635,955,265,320,610,280,465,290,175,815,430,0,100,270,415,"6,195"
E08000009,Trafford,55,470,"1,140",220,495,735,305,500,"1,230",560,"2,660","1,265",5,200,620,675,"11,595"
E08000010,Wigan,135,685,"1,560",405,365,695,700,630,440,235,"1,210",690,5,145,345,645,"9,020"
E10000017,Lancashire,"3,155","3,200","5,930","1,705","2,015","3,830","2,040","2,925","2,210","1,615","5,795","3,400",140,655,"1,870","2,760","44,190"
E07000117,Burnley,60,285,360,95,150,275,150,210,120,80,270,200,10,30,125,175,"2,640"
E07000118,Chorley,235,260,640,175,170,340,230,250,280,150,685,365,10,70,170,290,"4,415"
E07000119,Fylde,190,185,365,95,120,285,115,240,280,155,540,235,15,55,125,210,"3,295"
E07000120,Hyndburn,65,245,300,110,140,215,120,200,60,70,210,175,0,40,155,155,"2,305"
E07000121,Lancaster,500,295,615,170,165,380,205,400,235,150,600,325,15,80,210,285,"4,700"
